DateTime,Date,Time,Time24,ISOdateTime,LinuxTime,Temperature,Humidity
"7/7/2022, 4:00:00 PM",2022-07-07,4:00:00 PM,16:00:00,2022-07-07T12:00:00.000Z,1657195200,-19.3,49
"7/7/2022, 4:01:00 PM",2022-07-07,4:01:00 PM,16:01:00,2022-07-07T12:01:00.000Z,1657195260,-19.2,49
"7/7/2022, 4:02:00 PM",2022-07-07,4:02:00 PM,16:02:00,2022-07-07T12:02:00.000Z,1657195320,-19.1,49
"7/7/2022, 4:03:00 PM",2022-07-07,4:03:00 PM,16:03:00,2022-07-07T12:03:00.000Z,1657195380,-18.9,49
"7/7/2022, 4:04:00 PM",2022-07-07,4:04:00 PM,16:04:00,2022-07-07T12:04:00.000Z,1657195440,-18.8,49
"7/7/2022, 4:05:00 PM",2022-07-07,4:05:00 PM,16:05:00,2022-07-07T12:05:00.000Z,1657195500,-18.6,49
"7/7/2022, 4:06:00 PM",2022-07-07,4:06:00 PM,16:06:00,2022-07-07T12:06:00.000Z,1657195560,-18.5,49
"7/7/2022, 4:07:00 PM",2022-07-07,4:07:00 PM,16:07:00,2022-07-07T12:07:00.000Z,1657195620,-18.6,49
"7/7/2022, 4:08:00 PM",2022-07-07,4:08:00 PM,16:08:00,2022-07-07T12:08:00.000Z,1657195680,-18.7,49
"7/7/2022, 4:09:00 PM",2022-07-07,4:09:00 PM,16:09:00,2022-07-07T12:09:00.000Z,1657195740,-18.9,49
"7/7/2022, 4:10:00 PM",2022-07-07,4:10:00 PM,16:10:00,2022-07-07T12:10:00.000Z,1657195800,-19.2,49
"7/7/2022, 4:11:00 PM",2022-07-07,4:11:00 PM,16:11:00,2022-07-07T12:11:00.000Z,1657195860,-19.3,49
"7/7/2022, 4:12:00 PM",2022-07-07,4:12:00 PM,16:12:00,2022-07-07T12:12:00.000Z,1657195920,-19.5,49
"7/7/2022, 4:13:00 PM",2022-07-07,4:13:00 PM,16:13:00,2022-07-07T12:13:00.000Z,1657195980,-19.6,49
"7/7/2022, 4:14:00 PM",2022-07-07,4:14:00 PM,16:14:00,2022-07-07T12:14:00.000Z,1657196040,-19.8,49
"7/7/2022, 4:15:00 PM",2022-07-07,4:15:00 PM,16:15:00,2022-07-07T12:15:00.000Z,1657196100,-19.9,49
"7/7/2022, 4:16:00 PM",2022-07-07,4:16:00 PM,16:16:00,2022-07-07T12:16:00.000Z,1657196160,-20.0,49
"7/7/2022, 4:17:00 PM",2022-07-07,4:17:00 PM,16:17:00,2022-07-07T12:17:00.000Z,1657196220,-20.2,49
"7/7/2022, 4:18:00 PM",2022-07-07,4:18:00 PM,16:18:00,2022-07-07T12:18:00.000Z,1657196280,-20.3,49
"7/7/2022, 4:19:00 PM",2022-07-07,4:19:00 PM,16:19:00,2022-07-07T12:19:00.000Z,1657196340,-20.4,49
"7/7/2022, 4:20:00 PM",2022-07-07,4:20:00 PM,16:20:00,2022-07-07T12:20:00.000Z,1657196400,-20.6,49
"7/7/2022, 4:21:00 PM",2022-07-07,4:21:00 PM,16:21:00,2022-07-07T12:21:00.000Z,1657196460,-20.6,49
"7/7/2022, 4:22:00 PM",2022-07-07,4:22:00 PM,16:22:00,2022-07-07T12:22:00.000Z,1657196520,-20.5,49
"7/7/2022, 4:23:00 PM",2022-07-07,4:23:00 PM,16:23:00,2022-07-07T12:23:00.000Z,1657196580,-20.4,49
"7/7/2022, 4:24:00 PM",2022-07-07,4:24:00 PM,16:24:00,2022-07-07T12:24:00.000Z,1657196640,-20.2,49
"7/7/2022, 4:25:00 PM",2022-07-07,4:25:00 PM,16:25:00,2022-07-07T12:25:00.000Z,1657196700,-20.1,49
"7/7/2022, 4:26:00 PM",2022-07-07,4:26:00 PM,16:26:00,2022-07-07T12:26:00.000Z,1657196760,-20.0,49
"7/7/2022, 4:27:00 PM",2022-07-07,4:27:00 PM,16:27:00,2022-07-07T12:27:00.000Z,1657196820,-19.7,49
"7/7/2022, 4:28:00 PM",2022-07-07,4:28:00 PM,16:28:00,2022-07-07T12:28:00.000Z,1657196880,-19.6,49
"7/7/2022, 4:29:00 PM",2022-07-07,4:29:00 PM,16:29:00,2022-07-07T12:29:00.000Z,1657196940,-19.4,49
"7/7/2022, 4:30:00 PM",2022-07-07,4:30:00 PM,16:30:00,2022-07-07T12:30:00.000Z,1657197000,-19.2,49
"7/7/2022, 4:31:00 PM",2022-07-07,4:31:00 PM,16:31:00,2022-07-07T12:31:00.000Z,1657197060,-19.0,49
"7/7/2022, 4:32:00 PM",2022-07-07,4:32:00 PM,16:32:00,2022-07-07T12:32:00.000Z,1657197120,-18.9,49
